Symbol,ISSUE PRICE,DATE OF LISTING,CMP,ATH,LISTING PRICE
ICICIAMC,2165,19-Dec-25,2668.4,2689,2600
PARKHOSPS,162,17-Dec-25,146.6,165.87,158.8
NEPHROPLUS,460,17-Dec-25,468.2,499,490
CORONA,1062,15-Dec-25,1409,1497.8,1470
WAKEFIT,195,15-Dec-25,182.93,203.5,195
AEQUS,124,10-Dec-25,137.67,165.4,140
MEESHO,111,10-Dec-25,183.9,254.4,162.5
VIDYAWIRES,52,10-Dec-25,49.73,58.45,52
SUDEEPPHRM,593,28-Nov-25,604.9,795,730
EXCELSOFT,120,26-Nov-25,92.46,142.59,135
CAPILLARY,577,21-Nov-25,676.5,798.95,571.9
UTLSOLAR,228,20-Nov-25,220.95,230.99,220
TENNIND,397,19-Nov-25,506.5,522.5,505
PWL,109,18-Nov-25,130.92,161.99,145
EMMVEE,217,18-Nov-25,188.52,248.4,217
PINELABS,221,14-Nov-25,237.37,284,242
GROWW,100,12-Nov-25,156.27,193.8,112
LENSKART,402,10-Nov-25,454.8,495,395
STUDDS,585,07-Nov-25,535.1,600,565
ORKLAINDIA,730,06-Nov-25,634.85,760,750.1
MIDWESTLTD,1065,24-Oct-25,1718.5,1842,1165
CANHLIFE,106,17-Oct-25,148.35,157.8,106
CRAMC,266,16-Oct-25,314.85,353.4,280.25
RUBICON,485,16-Oct-25,664.05,754.8,620
LGEINDIA,1140,14-Oct-25,1524.2,1749,1710.1
WEWORK,648,10-Oct-25,602.55,664,650
ADVANCE,100,08-Oct-25,119.59,154,114
FABTECH,191,07-Oct-25,197.04,262.8,192
GLOTTIS,129,07-Oct-25,61.65,93,84
OMFREIGHT,135,08-Oct-25,93.9,107.4,81.5
PACEDIGITK,219,06-Oct-25,187.84,231.95,225
JKIPL,121,03-Oct-25,88.74,126.95,125
TRUALT,496,03-Oct-25,403.75,549,545.4
JAINREC,232,01-Oct-25,410.25,461,265.05
EPACKPEB,204,01-Oct-25,271.7,344,183.85
BMWVENTLTD,99,01-Oct-25,56.92,78,78
STYL,423,30-Sep-25,277,437.45,432
SOLARWORLD,351,30-Sep-25,274.9,388.5,388.5
ARSSBL,414,30-Sep-25,636.3,794.85,432
JARO,890,30-Sep-25,462.8,890,890
ATLANTAELE,754,29-Sep-25,890,1097.85,857
GANESHCP,322,29-Sep-25,221.6,309.95,296.05
GKENERGY,153,26-Sep-25,146.5,239.6,171
SAATVIK,465,26-Sep-25,#N/A,#N/A,#N/A
IVALUE,299,25-Sep-25,272,340,284.95
VMSTMT,99,24-Sep-25,55.4,105,104.9
EUROPRATIK,247,23-Sep-25,310.65,390,272.1
SHRINGARMS,165,17-Sep-25,229.8,237.4,188.5
URBANCO,103,17-Sep-25,132.12,201.18,162.25
DEVX,61,17-Sep-25,41.36,64.05,61
AMANTA,126,09-Sep-25,105.19,154.4,#N/A
AHCL,91,03-Sep-25,145.78,172.75,92
VIKRAN,97,03-Sep-25,102.05,118.4,99
MEIL,561,28-Aug-25,372,573.7,556
GEMAROMA,325,26-Aug-25,167.75,349.6,333.1
SHREEJISPG,252,26-Aug-25,362,375.7,270
VIKRAMSOLR,332,26-Aug-25,239,407.95,338
PATELRMART,255,26-Aug-25,202,305,300
REGAAL,102,20-Aug-25,70.41,145.7,141
BLUESTONE,517,19-Aug-25,473.5,793,510
JSWCEMENT,147,14-Aug-25,120.19,162.15,153.5
ALLTIME,275,14-Aug-25,266.1,334.9,311.3
HILINFRA,70,12-Aug-25,57.96,131.4,115
NSDL,-,-,#N/A,#N/A,#VALUE!
LOTUSDEV,150,06-Aug-25,159,218.49,178
MBEL,385,06-Aug-25,379.85,535.9,385
LAXMIINDIA,158,05-Aug-25,125.38,180.9,137.52
CPPLUS,675,05-Aug-25,1500,1745.1,1015
SHANTIGOLD,199,01-Aug-25,187.67,274.1,227.55
BRIGHOTEL,90,31-Jul-25,69.5,91.77,81.1
EBGNG,237,30-Jul-25,312.6,401.7,355
INDIQUBE,237,30-Jul-25,207.08,243.8,216
ANTHEM,570,21-Jul-25,646.5,873.5,723.05
SMARTWORKS,407,17-Jul-25,470.3,619,435
ADANIENPP,900,16-Dec-25,#N/A,#N/A,#N/A
TRAVELFOOD,1100,14-Jul-25,1167.1,1445,1125
CRIZAC,245,09-Jul-25,283.2,387.95,281.05
IGCL,111,03-Jul-25,82.57,122,111
SAMBHV,82,02-Jul-25,97.4,149.4,110
HDBFS,740,02-Jul-25,763,891.9,835
GLOBECIVIL,71,01-Jul-25,60.39,95,90
KALPATARU,414,01-Jul-25,338.5,457.4,414
ELLEN,400,01-Jul-25,340.55,637.7,486
ARISINFRA,222,25-Jun-25,131.41,208.5,205
OSWALPUMPS,614,20-Jun-25,530.05,888.4,634
SCODATUBES,140,04-Jun-25,161.57,230.85,140
PROSTARM,105,03-Jun-25,176.59,253.49,120
THELEELA,435,02-Jun-25,432.6,474.4,406
BELRISE,90,28-May-25,183.78,185.5,100
BORANA,216,27-May-25,287.85,323.21,243
ATHERENERG,321,06-May-25,755.7,790,328
QPOWER,425,24-Feb-25,730.3,1082,430
HEXT,708,19-Feb-25,749.95,900,745.5
AJAXENGG,629,17-Feb-25,599.05,756.2,576
AGARWALEYE,402,04-Feb-25,507.45,568,402
DENTA,294,29-Jan-25,335.95,479.6,325
STALLION,90,23-Jan-25,239.5,423.8,120
LAXMIDENTL,428,20-Jan-25,271.75,584,542
QUADFUTURE,290,14-Jan-25,326.1,744,370
SGLTL,140,13-Jan-25,152.05,213.8,172
